year,age,event,category1,category2,New_Column,Name
1920,59,Douglas Haig's military career ended in January 1920.,Later life,,Douglas Haig.csv,Douglas Haig
1918,57,"Douglas Haig thought these views ""most mischievous"" but was willing to accept criticism of Douglas Haig's command, although Douglas Haig argued that decisions Douglas Haig took in August and September 1918 were responsible for the war ending in November.",Reputation,Post-war opinion,Douglas Haig.csv,Douglas Haig
1920,59,"Winston Churchill, whose World Crisis was written during Haig's lifetime's essay on Douglas Haig in Great Contemporaries, written after his death, was slightly more critical, noting the government's refusal to offer Douglas Haig employment after 1920, Douglas Haig's excessive (in Winston Churchill, whose World Crisis was written during Haig's lifetime's view) emphasis on the Western Front and Douglas Haig's lack of the ""sinister genius"" possessed by the truly great generals of history; Douglas Haig was ""quite friendly to the tanks"", Winston Churchill, whose World Crisis was written during Haig's lifetime wrote, but would never have come up with the idea of inventing the tanks Douglas Haig.[0",Reputation,Post-war opinion,Douglas Haig.csv,Douglas Haig
1963,102,"One of Douglas Haig's defenders was the military historian John Terraine, who published a biography of Haig (The Educated Soldier) in 1963, in which Douglas Haig was portrayed as a ""Great Captain"" of the calibre of the Duke of Marlborough or the Duke of Wellington.",Reputation,Other historians,Douglas Haig.csv,Douglas Haig
1917,56,"Douglas Haig has commonly been portrayed as an inept commander who exhibited callous disregard for the lives of his soldiers, repeatedly ordering tens of thousands of his soldiers to supposedly useless deaths, during battles such as the Battle of Passchendaele (31 July – 10 November 1917).",Haig in popular culture,Journalism and popular history,Douglas Haig.csv,Douglas Haig
1969,108,"Douglas Haig was played by Sir John Mills in the 1969 film, Oh! What a Lovely War, in which much of the dialogue is taken from Clark's The Donkeys.",Haig in popular culture,Drama and literature,Douglas Haig.csv,Douglas Haig
1985,124,"In the 1985 Australian television mini-series Anzacs, Douglas Haig was played by actor Noel Trevarthen and the 1985 Australian television mini-series Anzacs included scenes featuring meetings between Douglas Haig and prominent Australian journalist Keith Murdoch, the father of News Corp. CEO and Chairman Rupert Murdoch.",Haig in popular culture,Drama and literature,Douglas Haig.csv,Douglas Haig
1916,55,Douglas Haig was portrayed as a cold and aloof man whose scepticism about the fighting abilities of the Australian and New Zealand troops arriving on the Western Front in 1916 was aggravated by the conduct of the Australians behind the lines.,Haig in popular culture,Drama and literature,Douglas Haig.csv,Douglas Haig
1945,55,"After World War II ended in Europe, Dwight Eisenhower served as Military Governor of the American-occupied zone of Germany (1945), the Army Chief of Staff (1945–1948), president of Columbia University (1948–1953), and as the first Supreme Commander of NATO (1951–1952).",summary,,Dwight Eisenhower.csv,Dwight Eisenhower
1890,0,"Dwight Eisenhower was born Dwight Eisenhower in Denison, Texas, on October 14, 1890, the third of seven sons born to Ida Stover and David J. Eisenhower.",Early life and education,,Dwight Eisenhower.csv,Dwight Eisenhower
1912,22,"Dwight Eisenhower made the varsity football team and was a starter at halfback in 1912, when Dwight Eisenhower tried to tackle the legendary Jim Thorpe of the Carlisle Indians.",Early life and education,,Dwight Eisenhower.csv,Dwight Eisenhower
1915,25,"After graduation in 1915, Dwight Eisenhower requested an assignment in the Philippines, which was denied; because of the ongoing Mexican Revolution, Dwight Eisenhower was instead posted to Fort Sam Houston in San Antonio, Texas, under the command of General Frederick Funston.",Early life and education,,Dwight Eisenhower.csv,Dwight Eisenhower
1916,26,"In 1916, while stationed at Fort Sam Houston in San Antonio, Texas, Dwight Eisenhower was convinced by General Frederick Funston to become the football coach for Peacock Military Academy, and later became the coach at St. Louis College, now St. Mary's University; Dwight Eisenhower was an honorary member of the Sigma Beta Chi fraternity at St. Louis College, now St. Mary's University.",Early life and education,,Dwight Eisenhower.csv,Dwight Eisenhower
1917,27,"In late 1917 while Dwight Eisenhower was in charge of training at Fort Oglethorpe in Georgia, Mamie Doud of Boone, Iowa had their first son, Doud Dwight ""Icky"" Eisenhower (1917–1921), who died of scarlet fever at the age of three.",Personal life,,Dwight Eisenhower.csv,Dwight Eisenhower
1918,28,Dwight Eisenhower served initially in logistics and then the infantry at various camps in Texas and Georgia until 1918.,World War I (1914–1918),,Dwight Eisenhower.csv,Dwight Eisenhower
1918,28,"In February 1918, Dwight Eisenhower was transferred to Camp Meade in Maryland with the 65th Engineers.",World War I (1914–1918),,Dwight Eisenhower.csv,Dwight Eisenhower
1919,29,"After the war, Dwight Eisenhower reverted to Dwight Eisenhower's regular rank of captain and a few days later was promoted to major, a rank Dwight Eisenhower held for 16 years. Dwight Eisenhower was assigned in 1919 to a transcontinental Army convoy to test vehicles and dramatize the need for improved roads in the nation.",Between the Wars (1918–1939),In service of generals,Dwight Eisenhower.csv,Dwight Eisenhower
1928,38,Dwight Eisenhower then was assigned to the Army War College and graduated in 1928.,Between the Wars (1918–1939),In service of generals,Dwight Eisenhower.csv,Dwight Eisenhower
1933,43,"Dwight Eisenhower graduated from the Army Industrial College (Washington, DC) in 1933 and later served on the faculty (the Army Industrial College (Washington, DC) was later expanded to become the Industrial College of the Armed Services and is now known as the Dwight D. Eisenhower School for National Security and Resource Strategy).His",Between the Wars (1918–1939),In service of generals,Dwight Eisenhower.csv,Dwight Eisenhower
1936,46,Dwight Eisenhower was promoted to the rank of permanent lieutenant colonel in 1936.,Between the Wars (1918–1939),Philippine tenure (1935–1939),Dwight Eisenhower.csv,Dwight Eisenhower
1937,47,"Dwight Eisenhower also learned to fly with the Philippine Army Air Corps at the Zablan Airfield in Camp Murphy under Capt. Jesus Villamor, making a solo flight over the Philippine government in 1937, and obtained Dwight Eisenhower's private pilot's license in 1939 at Fort Lewis.",Between the Wars (1918–1939),Philippine tenure (1935–1939),Dwight Eisenhower.csv,Dwight Eisenhower
1941,51,In March 1941 Dwight Eisenhower was promoted to colonel and assigned as chief of staff of the newly activated IX Corps under Major General Kenyon Joyce.,Between the Wars (1918–1939),Return to the United States (1939–1941),Dwight Eisenhower.csv,Dwight Eisenhower
1941,51,"In June 1941, Dwight Eisenhower was appointed chief of staff to General Walter Krueger, Commander of the Third Army, at Fort Sam Houston in San Antonio, Texas.",Between the Wars (1918–1939),Return to the United States (1939–1941),Dwight Eisenhower.csv,Dwight Eisenhower
1941,51,"After successfully participating in the Louisiana Maneuvers, Dwight Eisenhower was promoted to brigadier general on October 3, 1941.",Between the Wars (1918–1939),Return to the United States (1939–1941),Dwight Eisenhower.csv,Dwight Eisenhower
1942,52,"After the Japanese attack on Pearl Harbor, Dwight Eisenhower was assigned to the General Staff in Washington, where Dwight Eisenhower served until June 1942 with responsibility for creating the major war plans to defeat Japan and Germany.",World War II (1939–1945),,Dwight Eisenhower.csv,Dwight Eisenhower
1942,52,"In November 1942, Dwight Eisenhower was also appointed Supreme Commander Allied Expeditionary Force of the North African Theater of Operations (NATOUSA) through the new operational Headquarters Allied (Expeditionary) Force Headquarters (A(E)FHQ).",World War II (1939–1945),Operations Torch and Avalanche,Dwight Eisenhower.csv,Dwight Eisenhower
1944,54,"Dwight Eisenhower was charged in these positions with planning and carrying out the Allied assault on the coast of Normandy in June 1944 under the code name Operation Overlord, the liberation of Western Europe and the invasion of Germany.Dwight EisenhowerDwight Eisenhower, had learned valuable lessons in Dwight Eisenhower's previous operations, and Dwight Eisenhower's skills had all strengthened in preparation for the next most difficult campaign against the Germans—a beach landing assault.",World War II (1939–1945),Supreme Allied commander and Operation Overlord,Dwight Eisenhower.csv,Dwight Eisenhower
1950,60,"As a result, Dwight Eisenhower was ""almost incessantly"" devoted to the idea of the American Assembly, a concept Dwight Eisenhower developed into an institution by the end of 1950.Within months of beginning Dwight Eisenhower's tenure as the president of Columbia UniversityColumbia University, an Ivy League university in New York City, where he was inducted into Phi Beta Kappa, Dwight Eisenhower was requested to advise U.S. Secretary of Defense James Forrestal on the unification of the armed services.",After World War II (1945–1953),President at Columbia University and NATO Supreme Commander,Dwight Eisenhower.csv,Dwight Eisenhower
1956,66,Dwight Eisenhower championed and signed the bill that authorized the Interstate Highway System in 1956.,Presidency (1953–1961),Interstate Highway System,Dwight Eisenhower.csv,Dwight Eisenhower
1956,66,Dwight Eisenhower justified the Interstate Highway System through the Federal Aid Highway Act of 1956 as essential to American security during the Cold War.[0,Presidency (1953–1961),Interstate Highway System,Dwight Eisenhower.csv,Dwight Eisenhower
1960,70,Dwight Eisenhower authorized the assassination of Congolese leader Patrice Lumumba in 1960.,Presidency (1953–1961),Foreign policy,Dwight Eisenhower.csv,Dwight Eisenhower
1965,75,"Dwight Eisenhower explicitly defended Dwight Eisenhower's strong position against France and France in Dwight Eisenhower's memoirs, which were published in 1965.After the Suez Crisis",Presidency (1953–1961),Foreign policy,Dwight Eisenhower.csv,Dwight Eisenhower
1960,70,"In the 1960 election to choose Dwight Eisenhower's successor, Dwight Eisenhower endorsed Nixon over Democrat John F. Kennedy.",Presidency (1953–1961),End of presidency,Dwight Eisenhower.csv,Dwight Eisenhower
1964,74,"Dwight Eisenhower addressed the 1964 Republican National Convention, in San Francisco, and appeared with party nominee Barry Goldwater in a campaign commercial from Dwight Eisenhower's Gettysburg, Pennsylvania retreat.",Post-presidency (1961–1969),,Dwight Eisenhower.csv,Dwight Eisenhower
1969,79,"On January 20, 1969, the day Nixon was inaugurated as President, Dwight Eisenhower issued a statement praising Dwight Eisenhower's and calling January 20, 1969, the day Nixon was inaugurated as President a ""day for rejoicing"".",Post-presidency (1961–1969),,Dwight Eisenhower.csv,Dwight Eisenhower
1960,70,"Dwight Eisenhower also attracted criticism for Dwight Eisenhower's handling of the 1960 U-2 incident and the associated international embarrassment, for the Soviet Union's perceived leadership in the nuclear arms race and the Space Race, and for Dwight Eisenhower's failure to publicly oppose McCarthyism.",Legacy and memory,,Dwight Eisenhower.csv,Dwight Eisenhower
1944,54,"On December 20, 1944, Dwight Eisenhower was appointed to the rank of General of the Army, placing Dwight Eisenhower in the company of George Marshall, Henry ""Hap"" Arnold, and Douglas MacArthur, the only four men to achieve the rank in World War II.",Legacy and memory,,Dwight Eisenhower.csv,Dwight Eisenhower
2009,119,In 2009 Dwight Eisenhower was named to the World Golf Hall of Fame in the Lifetime Achievement category for Dwight Eisenhower's contributions to the sport.,Legacy and memory,Tributes and memorials,Dwight Eisenhower.csv,Dwight Eisenhower
1973,83,"In 1973, Dwight Eisenhower was inducted into the Hall of Great Westerners of the National Cowboy & Western Heritage Museum.",Legacy and memory,Tributes and memorials,Dwight Eisenhower.csv,Dwight Eisenhower
1881,18,"Edvard Munch wrote Edvard Munch's goal in Edvard Munch's diary: ""In Edvard Munch's art Edvard Munch attempt to explain life and life's meaning to Edvard Munch.""In 1881, Edvard Munch enrolled at the Royal School of Art and Design of Kristiania, one of whose founders was his distant relative Jacob Munch.",Life,Studies and influences,Edvard Munch.csv,Edvard Munch
1881,18,"1881, Edvard Munch demonstrated Edvard Munch's quick absorption of Edvard Munch's figure training at the Royal School of Art and Design of Kristiania, one of whose founders was his distant relative Jacob Munch in Edvard Munch's first portraits, including one of his father and Edvard Munch's first self-portrait.",Life,Studies and influences,Edvard Munch.csv,Edvard Munch
1884,21,Edvard Munch's picture Morning (1884) was displayed at the Norwegian pavilion.,Life,Paris,Edvard Munch.csv,Edvard Munch
1892,29,"By 1892, Edvard Munch formulated Edvard Munch's characteristic, and original, Synthetist style, as seen in Melancholy (1891), in which color is the symbol-laden element.",Life,Berlin,Edvard Munch.csv,Edvard Munch
1906,43,"When the coming Fauvists, famous for their boldly false colors, held the coming Fauvists, famous for their boldly false colors,'s own exhibit in 1906–07, Edvard Munch was invited and displayed his works with the coming Fauvists, famous for their boldly false colors,.",Life,"Paris, Berlin and Kristiania",Edvard Munch.csv,Edvard Munch
1945,61,"Eleanor Roosevelt then served as a United States Delegate to the United Nations General Assembly from 1945 to 1952, and in 1948 Eleanor Roosevelt was given a standing ovation by the United Nations General Assembly upon the United Nations General Assembly's adoption of the Universal Declaration of Human Rights.",summary,,Eleanor Roosevelt.csv,Eleanor Roosevelt
1999,115,"In 1999, Eleanor Roosevelt was ranked ninth in the top ten of Gallup's's List of Most Widely Admired People of the 20th Century, and was found to rank as the most admired woman in thirteen different years between 1948 and 1961 in Gallup's's annual most admired woman poll.",summary,,Eleanor Roosevelt.csv,Eleanor Roosevelt
1884,0,"Eleanor Roosevelt was born on October 11, 1884, in Manhattan, New York City, to socialites Anna Rebecca Hall and Elliott Roosevelt.",Personal life,Early life,Eleanor Roosevelt.csv,Eleanor Roosevelt
1899,15,"was tutored privately and with the encouragement of Eleanor Roosevelt's aunt Anna ""Bamie"" Roosevelt, Eleanor Roosevelt was sent to Allenswood Academy at the age of 15, a private finishing school in Wimbledon, London, England, where Eleanor Roosevelt was educated from 1899 to 1902.",Personal life,Early life,Eleanor Roosevelt.csv,Eleanor Roosevelt
1902,18,"At age 17 in 1902, Eleanor Roosevelt completed Eleanor Roosevelt's formal education and returned to the United States; Eleanor Roosevelt was presented at a debutante ball at the Waldorf-Astoria hotel on December 14.",Personal life,Early life,Eleanor Roosevelt.csv,Eleanor Roosevelt
1902,18,"In the summer of 1902, Eleanor Roosevelt encountered her father's fifth cousin, Franklin Delano Roosevelt, on a train to Tivoli, New York.",Personal life,Marriage and family life,Eleanor Roosevelt.csv,Eleanor Roosevelt
1928,44,"By 1928, Eleanor Roosevelt was promoting Democrat Alfred E. Smith's candidacy for president and Franklin's nomination as the New York State Democratic Party's candidate for governor of New York State, succeeding Democrat Alfred E. Smith.",Public life before the White House,,Eleanor Roosevelt.csv,Eleanor Roosevelt
1941,57,"By 1941, Eleanor Roosevelt was receiving lecture fees of $1,000, and was made an honorary member of Phi Beta Kappa at one of Eleanor Roosevelt's lectures to celebrate Eleanor Roosevelt's achievements.[0",First Lady of the United States (1933–1945),,Eleanor Roosevelt.csv,Eleanor Roosevelt
2003,119,"In the 2003 survey, Eleanor Roosevelt was ranked the highest in nine of the ten criteria (background, value to the United States, intelligence, being Eleanor Roosevelt's ""own woman"", integrity, accomplishments, courage, leadership, and value to the president). Eleanor Roosevelt was ranked the second-highest in the remaining category (public image) behind only Jacqueline Kennedy Onassis.",First Lady of the United States (1933–1945),,Eleanor Roosevelt.csv,Eleanor Roosevelt
2014,130,"In additional questions included in the 2014 survey, Eleanor Roosevelt was assessed by historians as having been the greatest among 20th and 21st century first ladies in regards to advancing women's issues, being a political asset, being a strong public communicator, public service performed after leaving office, and creating a lasting legacy.",First Lady of the United States (1933–1945),,Eleanor Roosevelt.csv,Eleanor Roosevelt
2014,130,"In the 2014 survey, Eleanor Roosevelt and Eleanor Roosevelt's were also ranked the highest among first couples in terms of being a ""power couple"".",First Lady of the United States (1933–1945),,Eleanor Roosevelt.csv,Eleanor Roosevelt
1935,51,"Eleanor Roosevelt was formed in 1935 to advocate for youth rights in U.S. politics, and Eleanor Roosevelt was responsible for introducing the American Youth Bill of Rights to the U.S. Congress.",First Lady of the United States (1933–1945),American Youth Congress and National Youth Administration,Eleanor Roosevelt.csv,Eleanor Roosevelt
1940,56,"Eleanor Roosevelt was sharply discouraged by a 1940 visit in which Eleanor Roosevelt felt a planned community in Arthurdale, West Virginia had become excessively dependent on outside assistance.",First Lady of the United States (1933–1945),Arthurdale,Eleanor Roosevelt.csv,Eleanor Roosevelt
1936,52,"In contrast to Eleanor Roosevelt's usual support of African-American rights, the ""sundown town"" Eleanor, in West Virginia, was named for Eleanor Roosevelt and was established in 1936 when Eleanor Roosevelt and her husband visited the county and developed the ""sundown town"" Eleanor, in West Virginia, as a test site for families.",First Lady of the United States (1933–1945),Civil rights activism,Eleanor Roosevelt.csv,Eleanor Roosevelt
1941,57,"Following the Japanese attack on Pearl Harbor on December 7, 1941, Eleanor Roosevelt spoke out against Japanese-American prejudice, warning against the ""great hysteria against minority groups.""",First Lady of the United States (1933–1945),Civil rights activism,Eleanor Roosevelt.csv,Eleanor Roosevelt
1936,52,"On entering the White House, Eleanor Roosevelt signed a contract with the magazine Woman's Home Companion to provide a monthly column, in which she answered mail sent to her by readers; a monthly column, in which she answered mail sent to her by readers was canceled in 1936 as another presidential election approached.",First Lady of the United States (1933–1945),Use of media,Eleanor Roosevelt.csv,Eleanor Roosevelt
1940,56,"Eleanor Roosevelt successfully secured political refugee status for eighty-three Jewish refugees from the S.S. Quanza in August 1940, but was refused on many other occasions.",First Lady of the United States (1933–1945),World War II,Eleanor Roosevelt.csv,Eleanor Roosevelt
1941,57,"Though New York City Mayor Fiorello H. LaGuardia resigned from the Office of Civilian Defense (OCD) in December 1941, Eleanor Roosevelt was forced to resign following anger in the House of Representatives over high salaries for several the Office of Civilian Defense (OCD) appointments, including two of Eleanor Roosevelt's close friends.",First Lady of the United States (1933–1945),World War II,Eleanor Roosevelt.csv,Eleanor Roosevelt
1942,58,"In 1942, Eleanor Roosevelt urged women of all social backgrounds to learn trades, saying: ""if Eleanor Roosevelt were of a debutante age Eleanor Roosevelt would go into a factory–any factory where Eleanor Roosevelt could learn a skill and be useful.""",First Lady of the United States (1933–1945),World War II,Eleanor Roosevelt.csv,Eleanor Roosevelt
1954,70,"Eleanor Roosevelt routinely hosted encampment workshops at Eleanor Roosevelt's Hyde Park estate, and when encampment was attacked as ""socialistic"" by McCarthyite forces in the early 1950s, Eleanor Roosevelt vigorously defended it.[citation needed]In 1954",Years after the White House,Other postwar activities and honors,Eleanor Roosevelt.csv,Eleanor Roosevelt
1960,76,"In April 1960, Eleanor Roosevelt was diagnosed with aplastic anemia soon after being struck by a car in New York City.",Death,,Eleanor Roosevelt.csv,Eleanor Roosevelt
1962,78,"In 1962, Eleanor Roosevelt was given steroids, which activated a dormant case of tuberculosis in Eleanor Roosevelt's bone marrow, and Eleanor Roosevelt died, aged 78, of resulting cardiac failure at Eleanor Roosevelt's Manhattan home at 55 East 74th Street on the Upper East Side on November 7, 1962, cared for by Eleanor Roosevelt's daughter, Anna.",Death,,Eleanor Roosevelt.csv,Eleanor Roosevelt
2007,123,"In 2007, Eleanor Roosevelt was named a hero by The My Hero Project.",Posthumous recognition,Recognition and awards,Eleanor Roosevelt.csv,Eleanor Roosevelt
1948,64,Eleanor Roosevelt was retroactively named Woman of the Year 1948 for Eleanor Roosevelt's efforts on tackling issues surrounding human rights.Eleanor Roosevelt was honored on an American Women quarter in 2023.,Posthumous recognition,Recognition and awards,Eleanor Roosevelt.csv,Eleanor Roosevelt
2018,69,"Elizabeth Warren won re-election by a wide margin in 2018, defeating Republican nominee Geoff Diehl.",summary,,Elizabeth Warren.csv,Elizabeth Warren
2019,70,"On February 9, 2019, Elizabeth Warren announced Elizabeth Warren's candidacy in the 2020 United States presidential election.",summary,,Elizabeth Warren.csv,Elizabeth Warren
2019,70,"Elizabeth Warren was briefly considered the front-runner for the Democratic nomination in late 2019, but support for Elizabeth Warren's campaign dwindled.",summary,,Elizabeth Warren.csv,Elizabeth Warren
1949,0,"Elizabeth Warren was born Elizabeth Warren in Oklahoma City on June 22, 1949.",Early life and education,,Elizabeth Warren.csv,Elizabeth Warren
1911,-38,"When Elizabeth Warren was 12, Donald Jones Herring (1911–1997), a U.S. Army flight instructor during World War II had a heart attack, which led to many medical bills as well as a pay cut because Donald Jones Herring (1911–1997), a U.S. Army flight instructor during World War II could not do Donald Jones Herring (1911–1997), a U.S. Army flight instructor during World War II's previous work.",Early life and education,,Elizabeth Warren.csv,Elizabeth Warren
1976,27,Elizabeth Warren received Elizabeth Warren's Juris Doctor in 1976 and passed the bar examination shortly thereafter.,Early life and education,,Elizabeth Warren.csv,Elizabeth Warren
1977,28,"Elizabeth Warren began Elizabeth Warren's career in academia as a lecturer at Rutgers University, Newark School of Law (1977–1978).",Career,Academic,Elizabeth Warren.csv,Elizabeth Warren
1983,34,Elizabeth Warren was a research associate at the Population Research Center of the University of Texas School of Law at Austin from 1983 to 1987 and was also a visiting professor at the University of Michigan in 1985.,Career,Academic,Elizabeth Warren.csv,Elizabeth Warren
1989,40,"Elizabeth Warren worked in the field of bankruptcy law alongside colleagues Teresa A. Sullivan and Jay Westbrook, and colleagues Teresa A. Sullivan and Jay Westbrook published colleagues Teresa A. Sullivan and Jay Westbrook's research in the book As We Forgive Our Debtors in 1989.",Career,Academic,Elizabeth Warren.csv,Elizabeth Warren
1995,46,"In 1995, Elizabeth Warren left the University of Pennsylvania Law School to become Leo Gottlieb Professor of Law at Harvard Law School.",Career,Academic,Elizabeth Warren.csv,Elizabeth Warren
1991,42,Elizabeth Warren was registered as a Republican from 1991 to 1996 and voted Republican for many years.,Career,Political affiliation,Elizabeth Warren.csv,Elizabeth Warren
1996,47,"But Elizabeth Warren has also said that in the six presidential elections before 1996 Elizabeth Warren voted for the Republican nominee only once, in 1976, for Gerald Ford.[0",Career,Political affiliation,Elizabeth Warren.csv,Elizabeth Warren
2017,68,"On January 6, 2017, in an email to supporters, Elizabeth Warren announced that Elizabeth Warren would be running for a second term as a U.S. senator from Massachusetts, writing, ""The people of Massachusetts didn't send Elizabeth Warren to Washington to roll over and play dead while Donald Trump and Donald Trump's team of billionaires, bigots, and Wall Street bankers crush the working people of the U.S. and the U.S.. ...",U.S. Senate (2013–present),Elections,Elizabeth Warren.csv,Elizabeth Warren
2012,63,"In December 2012, Elizabeth Warren was assigned a seat on the Senate Banking Committee, which oversees the implementation of Dodd–Frank and other regulation of the banking industry.",U.S. Senate (2013–present),Tenure,Elizabeth Warren.csv,Elizabeth Warren
2012,63,"After the November 2012 elections, Elizabeth Warren was appointed to become the first-ever Strategic Adviser of the Democratic Policy and Communications Committee, a position created for Elizabeth Warren.",U.S. Senate (2013–present),Tenure,Elizabeth Warren.csv,Elizabeth Warren
2019,70,", Elizabeth Warren and Representative Al Lawson introduced legislation that would make low-income college students eligible for benefits under the Supplemental Nutrition Assistance Program (SNAP) according to the College Student Hunger Act of 2019.In November 2020, Elizabeth Warren was named a candidate for Secretary of the Treasury in the Vice President Joe Biden Administration.[0",U.S. Senate (2013–present),Tenure,Elizabeth Warren.csv,Elizabeth Warren
2018,69,"On December 31, 2018, Elizabeth Warren announced that Elizabeth Warren was forming an exploratory committee to run for president.",2020 presidential campaign,,Elizabeth Warren.csv,Elizabeth Warren
2019,70,"On February 9, 2019, Elizabeth Warren officially announced Elizabeth Warren's candidacy at a rally in Lawrence, Massachusetts, at the site of the 1912 Bread and Roses strike.",2020 presidential campaign,,Elizabeth Warren.csv,Elizabeth Warren
2020,71,"After several defeats at the polls, including the Democratic primary in Elizabeth Warren's , Elizabeth Warren ended Elizabeth Warren's campaign on March 5, 2020.",2020 presidential campaign,,Elizabeth Warren.csv,Elizabeth Warren
2021,72,"On October 1, 2021, Elizabeth Warren announced that Elizabeth Warren's brother, John Herring, had died of cancer.",Personal life,,Elizabeth Warren.csv,Elizabeth Warren
2012,63,"In 2012, Elizabeth Warren said that ""being Native American has been part of Elizabeth Warren's story, Elizabeth Warren guess, since the day Elizabeth Warren was born"".",Ancestry and Native American issues,,Elizabeth Warren.csv,Elizabeth Warren
2018,69,"A 2018 Boston Globe investigation found that her reported ethnic status played no role in Elizabeth Warren's rise in the academic legal profession, and concluded there was ""clear evidence, in documents and interviews, that her reported ethnic status was never considered by the Harvard Law faculty, which voted resoundingly to hire Elizabeth Warren, or by those who hired Elizabeth Warren to four prior positions at other law schools"", and that ""Elizabeth Warren was viewed as a white woman by the hiring committees at every institution that employed Elizabeth Warren"".",Ancestry and Native American issues,,Elizabeth Warren.csv,Elizabeth Warren
2019,70,"According to Politico, ""Elizabeth Warren's past claims of American Indian ancestry garnered fierce criticism from both sides of the aisle"", with ""tribal leaders calling out Elizabeth Warren for claiming a heritage Elizabeth Warren did not culturally belong to.""During a January 2019 public appearance in Sioux City, Iowa, Elizabeth Warren was asked by an attendee, ""Why did Elizabeth Warren undergo DNA testing and give Donald more fodder to be a bully?""",Ancestry and Native American issues,,Elizabeth Warren.csv,Elizabeth Warren
2019,70,"In February 2019, Elizabeth Warren received a standing ovation during a surprise visit to a Native American conference, where Elizabeth Warren was introduced by freshman Representative Deb Haaland (D-NM), one of the first two Native American women elected to the U.S. Congress.",Ancestry and Native American issues,,Elizabeth Warren.csv,Elizabeth Warren
2011,62,"In 2011, Elizabeth Warren was inducted into the Oklahoma Hall of Fame.",Honors and awards,,Elizabeth Warren.csv,Elizabeth Warren
2012,63,"In January 2012, New Statesman magazine named Elizabeth Warren one of the ""top 20 U.S. progressives"". Elizabeth Warren was named one of Time magazine's 100 Most Influential People in the World in 2009, 2010, 2015, and 2017.In 2018",Honors and awards,,Elizabeth Warren.csv,Elizabeth Warren
2007,58,"Elizabeth Warren has appeared in the documentary films Maxed Out (2007), Michael Moore's Capitalism: A Love Story (2009), Heist: Who Stole the American Dream? (2011), and Makers: Women Who Make America (2013). In 2017, Kate McKinnon played Elizabeth Warren on Saturday Night Live.",In popular culture,,Elizabeth Warren.csv,Elizabeth Warren
1962,15,"Elton John formed the blues band Bluesology in 1962, but left in 1967 to embark on a solo career and met lyricist Bernie Taupin 1967.",summary,,Elton John.csv,Elton John
1969,22,"In 1969, Elton John released Elton John's debut album Empty Sky, and a year later formed the Elton John Band, also releasing Elton John's first hit single, ""Your Song"".",summary,,Elton John.csv,Elton John
1992,45,"Elton John established the Elton John AIDS Foundation in 1992, which has raised over £300 million since the Elton John AIDS Foundation's inception, and a year later Elton John began hosting Elton John's annual the Elton John AIDS Foundation Academy Awards Party, which has since become one of the biggest high-profile Oscar parties in the Hollywood film industry.",summary,,Elton John.csv,Elton John
1976,29,"Elton John was the chairman and director of Watford F.C. from 1976 to 1987, and again from 1997 to 2002, and is an honorary life president of the Elton John AIDS Foundation.",summary,,Elton John.csv,Elton John
1992,45,"Elton John was inducted into the Songwriters Hall of Fame in 1992 and the Rock and Roll Hall of Fame in 1994, and is a fellow of The Ivors Academy.",summary,,Elton John.csv,Elton John
1998,51,"Elton John was knighted by Elizabeth II for services to music and charity in 1998 and was appointed a member of the Order of the Companions of Honour in 2020, being invested at Windsor Castle in 2021 by the Prince of Wales.",summary,,Elton John.csv,Elton John
1947,0,"Elton John was born Reginald Kenneth Dwight on 25 March 1947 in Pinner, Middlesex, London, the eldest child of Stanley Dwight (1925–1991) and only child of Sheila Eileen (née Harris; 1925–2017).",Early life,,Elton John.csv,Elton John
1925,-22,"With Stanley Dwight (1925–1991) uninterested in Stanley Dwight (1925–1991)'s and often absent, Elton John was raised primarily by Sheila Eileen (née Harris; 1925–2017) and his grandmother's.",Early life,,Elton John.csv,Elton John
1972,25,"Elton John legally changed the name Elton John to Elton Hercules John on 7 January 1972.The team of Elton John and Bernie Taupin, who had answered the same ad joined Dick James's's DJM Records as staff songwriters in 1968, and over the next two years wrote material for various artists, among various artists Roger Cook and Lulu.",Career,1962–1969: Pub pianist to staff songwriter,Elton John.csv,Elton John
1972,25,"In 1972 Elton John performed at the Royal Variety Performance, where Elton John was upstaged by the dancing of ""Legs"" Larry Smith, the drummer with the Bonzo Dog Doo-Dah Band.",Career,1969–1973: Debut album to Goodbye Yellow Brick Road,Elton John.csv,Elton John
1974,27,"In 1974, Elton John collaborated with John Lennon on his cover of the Beatles' ""Lucy in the Sky with Diamonds"", the B-side of which was John Lennon's ""One Day at a Time"".",Career,1974–1980: The Rocket Record Company to 21 at 33,Elton John.csv,Elton John
1975,28,"On 9 August 1975, Elton John was named the outstanding rock personality of the year at the first annual Rock Music Awards in Santa Monica, California.",Career,1974–1980: The Rocket Record Company to 21 at 33,Elton John.csv,Elton John
1983,36,"With original band members Elton John, Murray and Olsson together again, Elton John returned to the charts with the 1983 album Too Low for Zero, which included the singles ""I'm Still Standing"" (No. 4 UK) and ""I Guess That's Why They Call It the Blues"", the latter of which featured Stevie Wonder on harmonica and reached number four in the US and number five in UK.",Career,1981–1989: The Fox to Sleeping with the Past,Elton John.csv,Elton John
